Year,Country,fertility,life,population,child_mortality,gdp,region
1976,Czech Rep.,2.308,70.66,10049465,,,Europe & Central Asia
1977,Czech Rep.,2.302,70.71,10110020,,,Europe & Central Asia
1978,Czech Rep.,2.275,70.78,10169747,,,Europe & Central Asia
1979,Czech Rep.,2.232,70.89,10221861,,,Europe & Central Asia
1980,Czech Rep.,2.178,70.42,10261606,,,Europe & Central Asia
1981,Czech Rep.,2.121,70.86,10286947,,,Europe & Central Asia
1982,Czech Rep.,2.067,70.96,10299490,,,Europe & Central Asia
1983,Czech Rep.,2.023,70.73,10302679,,,Europe & Central Asia
1984,Czech Rep.,1.99,70.99,10301798,,,Europe & Central Asia
1985,Czech Rep.,1.967,71.2,10300844,,,Europe & Central Asia
1986,Czech Rep.,1.949,71.13,10300475,,,Europe & Central Asia
1987,Czech Rep.,1.931,71.58,10299854,,,Europe & Central Asia
1988,Czech Rep.,1.905,71.78,10299711,,,Europe & Central Asia
1989,Czech Rep.,1.87,71.83,10300582,,,Europe & Central Asia
1990,Czech Rep.,1.822,71.49,10302718,,,Europe & Central Asia
1991,Czech Rep.,1.757,72.03,10307130,,,Europe & Central Asia
1992,Czech Rep.,1.677,72.4,10313662,,,Europe & Central Asia
1993,Czech Rep.,1.587,72.92,10319923,,,Europe & Central Asia
1994,Czech Rep.,1.49,73.13,10322561,,,Europe & Central Asia
1995,Czech Rep.,1.394,73.26,10319337,,,Europe & Central Asia
1996,Czech Rep.,1.306,73.9,10310016,,,Europe & Central Asia
1997,Czech Rep.,1.231,74.01,10295984,,,Europe & Central Asia
1998,Czech Rep.,1.175,74.62,10278707,,,Europe & Central Asia
1999,Czech Rep.,1.14,74.81,10260335,,,Europe & Central Asia
2000,Czech Rep.,1.128,75.05,10242890,,,Europe & Central Asia
2001,Czech Rep.,1.138,75.38,10225701,,,Europe & Central Asia
2002,Czech Rep.,1.165,75.51,10209500,,,Europe & Central Asia
2003,Czech Rep.,1.203,75.46,10199327,,,Europe & Central Asia
2004,Czech Rep.,1.249,76.01,10201665,,,Europe & Central Asia
2005,Czech Rep.,1.298,76.22,10220638,,,Europe & Central Asia
2006,Czech Rep.,1.346,76.78,10258796,,,Europe & Central Asia
2007,Czech Rep.,1.392,76.99,10313525,,,Europe & Central Asia
2008,Czech Rep.,1.434,77.26,10377359,,,Europe & Central Asia
2009,Czech Rep.,1.471,77.102,10439735,,,Europe & Central Asia
2010,Czech Rep.,1.501,77.267,10492960,,,Europe & Central Asia
2011,Czech Rep.,1.525,77.414,10534293,,,Europe & Central Asia
2012,Czech Rep.,1.546,77.552,10565678,,,Europe & Central Asia
2013,Czech Rep.,1.566,77.69,10589806,,,Europe & Central Asia
1964,Denmark,2.602,72.52,4722383,22.1,18228,Europe & Central Asia
1965,Denmark,2.61,72.4,4759095,21.1,18917,Europe & Central Asia
1966,Denmark,2.615,72.48,4794927,20.1,19284,Europe & Central Asia
1967,Denmark,2.35,72.96,4829945,19.1,19775,Europe & Central Asia
1968,Denmark,2.117,73.17,4863983,18.1,20482,Europe & Central Asia
1969,Denmark,2,73.26,4896948,17.4,21701,Europe & Central Asia
1970,Denmark,1.95,73.38,4928704,16.6,21990,Europe & Central Asia
1971,Denmark,2.043,73.44,4959083,15.8,22464,Europe & Central Asia
1972,Denmark,2.03,73.47,4987806,14.9,23562,Europe & Central Asia
1973,Denmark,1.917,73.71,5014503,13.9,24318,Europe & Central Asia
1974,Denmark,1.896,73.84,5038752,13.1,24027,Europe & Central Asia
1975,Denmark,1.919,74.11,5060227,12.3,23846,Europe & Central Asia
1976,Denmark,1.747,73.78,5079015,11.6,25376,Europe & Central Asia
1977,Denmark,1.66,74.69,5095133,11.1,25758,Europe & Central Asia
1978,Denmark,1.668,74.45,5108145,10.6,26108,Europe & Central Asia
1979,Denmark,1.601,74.27,5117514,10.3,27020,Europe & Central Asia
1980,Denmark,1.546,74.16,5123026,10,26921,Europe & Central Asia
1981,Denmark,1.437,74.29,5124545,9.7,26741,Europe & Central Asia
1982,Denmark,1.427,74.63,5122696,9.6,27622,Europe & Central Asia
1983,Denmark,1.377,74.5,5118998,9.6,28392,Europe & Central Asia
1984,Denmark,1.4,74.65,5115476,9.6,29711,Europe & Central Asia
1985,Denmark,1.447,74.52,5113701,9.7,31032,Europe & Central Asia
1986,Denmark,1.48,74.69,5114172,9.7,32181,Europe & Central Asia
1987,Denmark,1.496,74.8,5116854,9.7,32297,Europe & Central Asia
1988,Denmark,1.559,74.89,5122098,9.6,32720,Europe & Central Asia
1989,Denmark,1.62,74.92,5130127,9.3,32849,Europe & Central Asia
1990,Denmark,1.668,74.92,5141034,8.9,33256,Europe & Central Asia
1991,Denmark,1.683,75.29,5155038,8.4,33601,Europe & Central Asia
1992,Denmark,1.764,75.33,5172040,7.9,34152,Europe & Central Asia
1993,Denmark,1.749,75.25,5191370,7.4,34008,Europe & Central Asia
1994,Denmark,1.806,75.51,5212071,6.9,35766,Europe & Central Asia
1995,Denmark,1.807,75.36,5233364,6.5,36670,Europe & Central Asia
1996,Denmark,1.747,75.74,5255213,6.2,37521,Europe & Central Asia
1997,Denmark,1.752,76.11,5277572,6,38584,Europe & Central Asia
1998,Denmark,1.724,76.51,5299649,5.8,39297,Europe & Central Asia
1999,Denmark,1.735,76.66,5320488,5.7,40321,Europe & Central Asia
2000,Denmark,1.771,76.9,5339501,5.6,41693,Europe & Central Asia
2001,Denmark,1.747,77.06,5356055,5.5,41886,Europe & Central Asia
2002,Denmark,1.723,77.18,5370507,5.4,41947,Europe & Central Asia
2003,Denmark,1.758,77.78,5384487,5.3,41996,Europe & Central Asia
2004,Denmark,1.784,77.58,5400280,5.1,42993,Europe & Central Asia
2005,Denmark,1.802,78.32,5419444,4.9,43919,Europe & Central Asia
2006,Denmark,1.85,78.32,5442644,4.7,45437,Europe & Central Asia
2007,Denmark,1.8464,78.44,5469130,4.5,45609,Europe & Central Asia
2008,Denmark,1.8923,78.408,5497312,4.3,45017,Europe & Central Asia
2009,Denmark,1.842,78.809,5524874,4.2,42498,Europe & Central Asia
2010,Denmark,1.8751,78.969,5550142,4,42997,Europe & Central Asia
2011,Denmark,1.7556,79.114,5572594,3.9,43314,Europe & Central Asia
2012,Denmark,1.7332,79.251,5592738,3.8,42869,Europe & Central Asia
2013,Denmark,1.88,79.388,5611187,3.7,42483,Europe & Central Asia
1964,Djibouti,6.595,45.727,109222,208.78,3700,Middle East & North Africa
1965,Djibouti,6.629,46.166,116706,202.3,3693,Middle East & North Africa
1966,Djibouti,6.665,46.654,124688,195.89,3708,Middle East & North Africa
1967,Djibouti,6.702,47.203,133253,193.62,3701,Middle East & North Africa
1968,Djibouti,6.739,47.814,142320,191.37,3676,Middle East & North Africa
1969,Djibouti,6.774,48.476,151782,189.15,3668,Middle East & North Africa
1970,Djibouti,6.804,49.16,161622,186.95,4357,Middle East & North Africa
1971,Djibouti,6.826,49.827,171519,184.78,4510,Middle East & North Africa
1972,Djibouti,6.836,50.442,181622,182.64,4529,Middle East & North Africa
1973,Djibouti,6.834,50.982,192922,180.51,4602,Middle East & North Africa
1974,Djibouti,6.817,51.442,206763,178.42,4381,Middle East & North Africa
1975,Djibouti,6.784,51.832,223963,176.35,4350,Middle East & North Africa
1976,Djibouti,6.734,52.177,245326,174.3,4538,Middle East & North Africa
1977,Djibouti,6.671,52.513,270222,169.4,3779,Middle East & North Africa
1978,Djibouti,6.598,52.865,296307,164.7,3632,Middle East & North Africa
1979,Djibouti,6.52,53.241,320332,160.1,3555,Middle East & North Africa
1980,Djibouti,6.443,53.639,340133,155.8,3500,Middle East & North Africa
1981,Djibouti,6.373,54.049,354304,151.7,3526,Middle East & North Africa
1982,Djibouti,6.316,54.451,363940,147.4,3531,Middle East & North Africa
1983,Djibouti,6.271,54.828,372386,143.3,3461,Middle East & North Africa
1984,Djibouti,6.239,55.174,384409,139.3,3795,Middle East & North Africa
1985,Djibouti,6.218,55.488,403221,135.3,3704,Middle East & North Africa
1986,Djibouti,6.205,55.772,430367,131.7,3616,Middle East & North Africa
1987,Djibouti,6.193,56.032,464202,128.3,3532,Middle East & North Africa
1988,Djibouti,6.174,56.271,500876,125.1,3364,Middle East & North Africa
1989,Djibouti,6.142,56.488,534862,122,3165,Middle East & North Africa
1990,Djibouti,6.087,56.678,562290,119.4,3050,Middle East & North Africa
1991,Djibouti,6,56.831,581641,117,2811,Middle East & North Africa
1992,Djibouti,5.879,56.943,594437,115,2736,Middle East & North Africa
1993,Djibouti,5.727,57.017,603534,113.2,2505,Middle East & North Africa
1994,Djibouti,5.548,57.056,613219,111.5,2440,Middle East & North Africa
1995,Djibouti,5.352,57.066,626537,110.2,2315,Middle East & North Africa
1996,Djibouti,5.148,57.05,644434,108.5,2181,Middle East & North Africa
1997,Djibouti,4.95,57.023,665755,106.8,2127,Middle East & North Africa
1998,Djibouti,4.768,56.999,688940,104.9,2092,Middle East & North Africa
1999,Djibouti,4.607,56.993,711573,102.9,2103,Middle East & North Africa
2000,Djibouti,4.469,57.023,731930,100.8,2079,Middle East & North Africa
2001,Djibouti,4.353,57.101,749604,98.4,2090,Middle East & North Africa
2002,Djibouti,4.253,57.234,765283,96,2114,Middle East & North Africa
2003,Djibouti,4.16,57.425,779640,93.5,2150,Middle East & North Africa
2004,Djibouti,4.074,57.678,793738,91,2202,Middle East & North Africa
2005,Djibouti,3.991,57.996,808367,88.5,2240,Middle East & North Africa
2006,Djibouti,3.911,58.38,823682,86,2315,Middle East & North Africa
2007,Djibouti,3.832,58.816,839453,83.5,2399,Middle East & North Africa
2008,Djibouti,3.755,59.292,855636,81,2502,Middle East & North Africa
2009,Djibouti,3.679,59.794,872090,78.5,2590,Middle East & North Africa
2010,Djibouti,3.604,60.307,888716,76.1,2665,Middle East & North Africa
2011,Djibouti,3.53,60.819,905564,73.9,2767,Middle East & North Africa
2012,Djibouti,3.457,61.319,922708,71.7,2807,Middle East & North Africa
2013,Djibouti,3.387,61.801,940090,69.5,2903,Middle East & North Africa
1964,Dominican Rep.,7.187,54.633,3772937,,,America
1965,Dominican Rep.,7.054,55.31,3893484,,,America
1966,Dominican Rep.,6.904,55.973,4015213,,,America
1967,Dominican Rep.,6.739,56.623,4137994,,,America
1968,Dominican Rep.,6.562,57.256,4261702,,,America
1969,Dominican Rep.,6.376,57.872,4386255,,,America
1970,Dominican Rep.,6.182,58.465,4511577,,,America
1971,Dominican Rep.,5.983,59.03,4637627,,,America
1972,Dominican Rep.,5.782,59.565,4764319,,,America
1973,Dominican Rep.,5.58,60.069,4891500,,,America
1974,Dominican Rep.,5.383,60.545,5019002,,,America
1975,Dominican Rep.,5.193,60.992,5146742,,,America
1976,Dominican Rep.,5.014,61.412,5274591,,,America
1977,Dominican Rep.,4.848,61.811,5402683,,,America
1978,Dominican Rep.,4.693,62.198,5531528,,,America
1979,Dominican Rep.,4.552,62.581,5661827,,,America
1980,Dominican Rep.,4.422,62.97,5794074,,,America
1981,Dominican Rep.,4.302,63.373,5928429,,,America
1982,Dominican Rep.,4.19,63.795,6064722,,,America
1983,Dominican Rep.,4.082,64.239,6202698,,,America
1984,Dominican Rep.,3.978,64.706,6341950,,,America
1985,Dominican Rep.,3.878,65.199,6482152,,,America
1986,Dominican Rep.,3.783,65.719,6623094,,,America
1987,Dominican Rep.,3.695,66.258,6764750,,,America
1988,Dominican Rep.,3.613,66.803,6907171,,,America
1989,Dominican Rep.,3.537,67.342,7050480,,,America
1990,Dominican Rep.,3.466,67.856,7194666,,,America
1991,Dominican Rep.,3.397,68.325,7339826,,,America
1992,Dominican Rep.,3.33,68.738,7485619,,,America
1993,Dominican Rep.,3.262,69.092,7631076,,,America
1994,Dominican Rep.,3.195,69.385,7774932,,,America
1995,Dominican Rep.,3.13,69.625,7916309,,,America
1996,Dominican Rep.,3.069,69.825,8054768,,,America
1997,Dominican Rep.,3.014,70.004,8190620,,,America
1998,Dominican Rep.,2.966,70.179,8324680,,,America
1999,Dominican Rep.,2.926,70.36,8458164,,,America
2000,Dominican Rep.,2.892,70.553,8591967,,,America
2001,Dominican Rep.,2.863,70.759,8726256,,,America
2002,Dominican Rep.,2.836,70.971,8860760,,,America
2003,Dominican Rep.,2.809,71.185,8995398,,,America
2004,Dominican Rep.,2.781,71.401,9129965,,,America
2005,Dominican Rep.,2.751,71.619,9264267,,,America
2006,Dominican Rep.,2.719,71.84,9398285,,,America
2007,Dominican Rep.,2.686,72.062,9531954,,,America
2008,Dominican Rep.,2.652,72.286,9664948,,,America
2009,Dominican Rep.,2.618,72.51,9796852,,,America
2010,Dominican Rep.,2.584,72.734,9927320,,,America
2011,Dominican Rep.,2.551,72.958,10056181,,,America
2012,Dominican Rep.,2.517,73.181,10183339,,,America
2013,Dominican Rep.,2.484,73.402,10308609,,,America
1964,Ecuador,6.589,55.404,4994917,159.9,4786,America
1965,Ecuador,6.545,55.843,5146294,155.6,5108,America
1966,Ecuador,6.488,56.242,5302370,151.8,5102,America
1967,Ecuador,6.418,56.622,5463176,148.2,5226,America
1968,Ecuador,6.335,57,5628565,144.9,5364,America
1969,Ecuador,6.238,57.387,5798368,141.4,5501,America
1970,Ecuador,6.128,57.791,5972464,138,5723,America
1971,Ecuador,6.005,58.213,6150690,134.3,5866,America
1972,Ecuador,5.874,58.652,6333049,130.3,6035,America
1973,Ecuador,5.736,59.107,6519792,126,6580,America
1974,Ecuador,5.593,59.58,6711284,121.3,6752,America
1975,Ecuador,5.449,60.075,6907740,116.6,6891,America
1976,Ecuador,5.304,60.598,7109119,111.8,7330,America
1977,Ecuador,5.159,61.147,7315156,107.2,7560,America
1978,Ecuador,5.015,61.72,7525548,102.6,7844,America
1979,Ecuador,4.875,62.315,7739894,98.3,8023,America
1980,Ecuador,4.742,62.927,7957811,93.9,8145,America
1981,Ecuador,4.618,63.553,8178948,89.5,8231,America
1982,Ecuador,4.505,64.186,8403034,85,8083,America
1983,Ecuador,4.401,64.82,8629832,80.7,7689,America
1984,Ecuador,4.306,65.448,8859125,76.6,7777,America
1985,Ecuador,4.217,66.063,9090592,72.7,7880,America
1986,Ecuador,4.131,66.659,9323745,69.1,7887,America
1987,Ecuador,4.044,67.235,9557974,65.7,7189,America
1988,Ecuador,3.955,67.791,9792658,62.6,7739,America
1989,Ecuador,3.861,68.325,10027109,59.7,7540,America
1990,Ecuador,3.765,68.839,10260587,56.9,7542,America
1991,Ecuador,3.669,69.336,10493498,54.1,7685,America
1992,Ecuador,3.576,69.822,10725281,51.5,7672,America
1993,Ecuador,3.488,70.298,10953182,48.8,7652,America
1994,Ecuador,3.407,70.766,11173647,46.3,7805,America
1995,Ecuador,3.335,71.226,11384506,43.9,7811,America
1996,Ecuador,3.27,71.681,11584074,41.6,7781,America
1997,Ecuador,3.213,72.127,11774005,39.6,7951,America
1998,Ecuador,3.161,72.558,11959586,37.7,8045,America
1999,Ecuador,3.113,72.971,12148188,35.9,7511,America
2000,Ecuador,3.068,73.353,12345023,34.4,7444,America
2001,Ecuador,3.025,73.693,12552036,33.1,7593,America
2002,Ecuador,2.983,73.985,12767415,31.9,7753,America
2003,Ecuador,2.94,74.233,12987992,30.9,7814,America
2004,Ecuador,2.897,74.441,13208869,30,8300,America
2005,Ecuador,2.853,74.622,13426402,29.1,8582,America
2006,Ecuador,2.81,74.794,13639708,28.3,8802,America
2007,Ecuador,2.768,74.973,13849721,27.5,8840,America
2008,Ecuador,2.728,75.172,14056740,26.8,9244,America
2009,Ecuador,2.69,75.396,14261566,26,9143,America
2010,Ecuador,2.655,75.647,14464739,25.2,9311,America
2011,Ecuador,2.622,75.917,14666055,24.5,9882,America
2012,Ecuador,2.59,76.195,14864987,23.7,10233,America
2013,Ecuador,2.559,76.471,15061398,23,10541,America
1964,Egypt,6.471,50.133,30970067,274.8,2443,Middle East & North Africa
1965,Egypt,6.405,50.578,31771227,266.9,2509,Middle East & North Africa
1966,Egypt,6.327,50.977,32586961,260.3,2447,Middle East & North Africa
1967,Egypt,6.238,51.325,33415926,254.8,2377,Middle East & North Africa
1968,Egypt,6.141,51.625,34252634,250.2,2460,Middle East & North Africa
1969,Egypt,6.04,51.898,35089893,246.4,2614,Middle East & North Africa
1970,Egypt,5.94,52.179,35923283,242.9,3055,Middle East & North Africa
1971,Egypt,5.846,52.512,36751162,239.4,3090,Middle East & North Africa
1972,Egypt,5.763,52.926,37577248,235.2,3140,Middle East & North Africa
1973,Egypt,5.692,53.44,38409289,229.7,3095,Middle East & North Africa
1974,Egypt,5.633,54.052,39258086,222.9,3105,Middle East & North Africa
1975,Egypt,5.585,54.749,40132189,214.7,3193,Middle East & North Africa
1976,Egypt,5.545,55.496,41033408,205.7,3552,Middle East & North Africa
1977,Egypt,5.507,56.254,41961731,196.2,3745,Middle East & North Africa
1978,Egypt,5.465,56.99,42921556,186.6,3953,Middle East & North Africa
1979,Egypt,5.418,57.692,43917526,177,4262,Middle East & North Africa
1980,Egypt,5.366,58.365,44952497,167.6,4580,Middle East & North Africa
1981,Egypt,5.31,59.028,46025305,158.1,4553,Middle East & North Africa
1982,Egypt,5.251,59.705,47133557,148.4,4757,Middle East & North Africa
1983,Egypt,5.189,60.406,48276547,138.5,5044,Middle East & North Africa
1984,Egypt,5.123,61.124,49453054,128.5,5303,Middle East & North Africa
1985,Egypt,5.045,61.838,50659625,118.8,5539,Middle East & North Africa
1986,Egypt,4.947,62.518,51899728,110.1,5658,Middle East & North Africa
1987,Egypt,4.827,63.141,53166492,102.5,5774,Middle East & North Africa
1988,Egypt,4.684,63.692,54433720,96,5886,Middle East & North Africa
1989,Egypt,4.522,64.173,55667119,90.6,5933,Middle East & North Africa
1990,Egypt,4.35,64.601,56843275,85.9,6020,Middle East & North Africa
1991,Egypt,4.179,65.007,57952386,81.7,5974,Middle East & North Africa
1992,Egypt,4.018,65.42,59004372,77.5,6134,Middle East & North Africa
1993,Egypt,3.876,65.859,60020423,73.3,6212,Middle East & North Africa
1994,Egypt,3.757,66.326,61032081,68.9,6360,Middle East & North Africa
1995,Egypt,3.659,66.806,62063810,64.6,6553,Middle East & North Africa
1996,Egypt,3.579,67.277,63120498,60.4,6774,Middle East & North Africa
1997,Egypt,3.508,67.708,64199588,56.5,7036,Middle East & North Africa
1998,Egypt,3.44,68.079,65309201,52.8,7207,Middle East & North Africa
1999,Egypt,3.372,68.387,66457136,49.5,7528,Middle East & North Africa
2000,Egypt,3.306,68.632,67648419,46.5,7807,Middle East & North Africa
2001,Egypt,3.242,68.826,68888032,43.8,7955,Middle East & North Africa
2002,Egypt,3.184,68.99,70174632,41.4,8013,Middle East & North Africa
2003,Egypt,3.134,69.144,71498433,39.2,8134,Middle East & North Africa
2004,Egypt,3.091,69.299,72844998,37.3,8328,Middle East & North Africa
2005,Egypt,3.053,69.464,74203215,35.6,8556,Middle East & North Africa
2006,Egypt,3.02,69.645,75568453,34.1,8990,Middle East & North Africa
2007,Egypt,2.987,69.838,76941572,32.7,9467,Middle East & North Africa
2008,Egypt,2.954,70.042,78323298,31.4,9974,Middle East & North Africa
2009,Egypt,2.919,70.256,79716203,30.2,10267,Middle East & North Africa
2010,Egypt,2.883,70.478,81121077,29,10615,Middle East & North Africa
2011,Egypt,2.845,70.705,82536770,27.9,10629,Middle East & North Africa
2012,Egypt,2.807,70.933,83958369,26.8,10683,Middle East & North Africa
2013,Egypt,2.77,71.157,85378440,25.8,10731,Middle East & North Africa
1964,El Salvador,6.699,53.953,3146076,172.7,4585,America
1965,El Salvador,6.643,54.499,3244774,169.5,4671,America
1966,El Salvador,6.571,54.995,3342957,166.4,4819,America
1967,El Salvador,6.487,55.442,3440705,163.5,4906,America
1968,El Salvador,6.396,55.844,3538389,160.7,4882,America
1969,El Salvador,6.3,56.198,3636782,158,4863,America
1970,El Salvador,6.203,56.498,3736311,155.1,4810,America
1971,El Salvador,6.106,56.738,3836884,152.1,4878,America
1972,El Salvador,6.01,56.917,3937757,148.9,5033,America
1973,El Salvador,5.914,57.037,4037935,145.5,5119,America
1974,El Salvador,5.817,57.106,4136133,141.7,5312,America
1975,El Salvador,5.718,57.111,4231358,137.4,5448,America
1976,El Salvador,5.615,57.038,4323383,132.7,5498,America
1977,El Salvador,5.506,56.9,4412237,127.8,5659,America
1978,El Salvador,5.389,56.731,4497535,122.4,5867,America
1979,El Salvador,5.266,56.579,4578922,116.7,5618,America
1980,El Salvador,5.137,56.525,4656263,110.7,5064,America
1981,El Salvador,5.004,56.657,4729467,104.5,4692,America
1982,El Salvador,4.87,57.025,4798918,98.2,4463,America
1983,El Salvador,4.738,57.651,4865611,92,4436,America
1984,El Salvador,4.609,58.527,4930893,86,4459,America
1985,El Salvador,4.485,59.625,4995888,80.4,4478,America
1986,El Salvador,4.367,60.892,5060307,75.2,4434,America
1987,El Salvador,4.255,62.234,5124240,70.6,4457,America
1988,El Salvador,4.148,63.559,5189565,66.5,4449,America
1989,El Salvador,4.047,64.804,5258654,62.8,4408,America
1990,El Salvador,3.951,65.908,5332842,59.4,4454,America
1991,El Salvador,3.862,66.828,5413269,56.3,4545,America
1992,El Salvador,3.777,67.572,5498489,53.2,4811,America
1993,El Salvador,3.695,68.158,5584047,50.3,5086,America
1994,El Salvador,3.614,68.591,5663820,47.4,5318,America
1995,El Salvador,3.529,68.893,5733401,44.5,5589,America
1996,El Salvador,3.432,69.097,5791403,41.7,5626,America
1997,El Salvador,3.323,69.249,5839103,39.1,5817,America
1998,El Salvador,3.201,69.389,5878097,36.6,5994,America
1999,El Salvador,3.07,69.539,5911094,34.4,6165,America
2000,El Salvador,2.934,69.715,5940305,32.4,6266,America
2001,El Salvador,2.803,69.917,5966027,30.6,6345,America
2002,El Salvador,2.683,70.127,5988233,29,6469,America
2003,El Salvador,2.58,70.335,6008523,27.5,6595,America
2004,El Salvador,2.496,70.543,6028792,26.1,6693,America
2005,El Salvador,2.433,70.752,6050513,24.8,6907,America
2006,El Salvador,2.386,70.965,6074487,23.6,7148,America
2007,El Salvador,2.35,71.184,6100868,22.6,7391,America
2008,El Salvador,2.319,71.41,6129628,21.6,7450,America
2009,El Salvador,2.291,71.643,6160423,20.8,7180,America
2010,El Salvador,2.263,71.88,6192993,20,7237,America
2011,El Salvador,2.236,72.12,6227491,19.3,7352,America
2012,El Salvador,2.209,72.361,6264129,18.6,7442,America
2013,El Salvador,2.184,72.599,6302723,18,7515,America
1964,Equatorial Guinea,5.57,37.944,264745,274.46,1041,Sub-Saharan Africa
1965,Equatorial Guinea,5.595,38.245,269429,268.37,1169,Sub-Saharan Africa
1966,Equatorial Guinea,5.619,38.546,275472,262.28,1203,Sub-Saharan Africa
1967,Equatorial Guinea,5.64,38.847,282446,256.16,1268,Sub-Saharan Africa
1968,Equatorial Guinea,5.658,39.149,288703,250.41,1296,Sub-Saharan Africa
1969,Equatorial Guinea,5.671,39.451,292015,244.21,1242,Sub-Saharan Africa
1970,Equatorial Guinea,5.678,39.753,290907,239.18,1193,Sub-Saharan Africa
1971,Equatorial Guinea,5.681,40.053,284913,234.51,1081,Sub-Saharan Africa
1972,Equatorial Guinea,5.68,40.352,274893,230.18,933,Sub-Saharan Africa
1973,Equatorial Guinea,5.677,40.65,262377,229.33,971,Sub-Saharan Africa
1974,Equatorial Guinea,5.675,40.949,249569,228.48,1029,Sub-Saharan Africa
1975,Equatorial Guinea,5.674,41.254,238240,227.64,1181,Sub-Saharan Africa
1976,Equatorial Guinea,5.676,41.569,228534,226.79,1325,Sub-Saharan Africa
1977,Equatorial Guinea,5.682,41.896,220448,225.95,1331,Sub-Saharan Africa
1978,Equatorial Guinea,5.693,42.237,215415,225.12,1436,Sub-Saharan Africa
1979,Equatorial Guinea,5.708,42.59,215116,224.28,1407,Sub-Saharan Africa
1980,Equatorial Guinea,5.728,42.953,220582,234.78,1349,Sub-Saharan Africa
1981,Equatorial Guinea,5.751,43.323,232676,228.74,1301,Sub-Saharan Africa
1982,Equatorial Guinea,5.776,43.696,250712,221.8,1290,Sub-Saharan Africa
1983,Equatorial Guinea,5.802,44.065,272217,217.5,1248,Sub-Saharan Africa
1984,Equatorial Guinea,5.826,44.429,293701,213.1,1169,Sub-Saharan Africa
1985,Equatorial Guinea,5.848,44.787,312634,209.1,1240,Sub-Saharan Africa
1986,Equatorial Guinea,5.866,45.145,328119,205.1,1154,Sub-Saharan Africa
1987,Equatorial Guinea,5.881,45.501,340825,201.4,1161,Sub-Saharan Africa
1988,Equatorial Guinea,5.891,45.855,351694,197.5,1155,Sub-Saharan Africa
1989,Equatorial Guinea,5.897,46.2,362325,193.6,1108,Sub-Saharan Africa
1990,Equatorial Guinea,5.9,46.526,373887,189.5,1050,Sub-Saharan Africa
1991,Equatorial Guinea,5.901,46.822,386536,185.8,1005,Sub-Saharan Africa
1992,Equatorial Guinea,5.902,47.079,399843,182,1310,Sub-Saharan Africa
1993,Equatorial Guinea,5.902,47.293,413730,178.3,1406,Sub-Saharan Africa
1994,Equatorial Guinea,5.901,47.464,428005,174.6,1586,Sub-Saharan Africa
1995,Equatorial Guinea,5.897,47.586,442527,171.2,1803,Sub-Saharan Africa
1996,Equatorial Guinea,5.888,47.656,457321,167.6,2907,Sub-Saharan Africa
1997,Equatorial Guinea,5.872,47.686,472486,163.9,7037,Sub-Saharan Africa
1998,Equatorial Guinea,5.847,47.694,488039,160.1,8437,Sub-Saharan Africa
1999,Equatorial Guinea,5.814,47.698,504001,156.1,10273,Sub-Saharan Africa
2000,Equatorial Guinea,5.773,47.723,520380,152.1,11768,Sub-Saharan Africa
2001,Equatorial Guinea,5.727,47.796,537195,147.9,18637,Sub-Saharan Africa
2002,Equatorial Guinea,5.678,47.934,554429,143.8,21586,Sub-Saharan Africa
2003,Equatorial Guinea,5.627,48.147,571999,139.6,23856,Sub-Saharan Africa
2004,Equatorial Guinea,5.574,48.442,589794,135.4,31942,Sub-Saharan Africa
2005,Equatorial Guinea,5.518,48.822,607739,131.2,36200,Sub-Saharan Africa
2006,Equatorial Guinea,5.457,49.28,625777,126.9,33468,Sub-Saharan Africa
2007,Equatorial Guinea,5.39,49.796,643936,122.7,36788,Sub-Saharan Africa
2008,Equatorial Guinea,5.314,50.347,662327,118.4,40143,Sub-Saharan Africa
2009,Equatorial Guinea,5.231,50.915,681115,114.6,35880,Sub-Saharan Africa
2010,Equatorial Guinea,5.14,51.483,700401,110.9,34431,Sub-Saharan Africa
2011,Equatorial Guinea,5.044,52.034,720213,107.3,35150,Sub-Saharan Africa
2012,Equatorial Guinea,4.945,52.562,740471,103.7,35282,Sub-Saharan Africa
2013,Equatorial Guinea,4.845,53.062,761050,100.3,32654,Sub-Saharan Africa
1964,Eritrea,6.778,38.42,1577613,259.26,937,Sub-Saharan Africa
1965,Eritrea,6.752,38.731,1619301,251.59,974,Sub-Saharan Africa
1966,Eritrea,6.728,39.064,1662247,244.15,998,Sub-Saharan Africa
1967,Eritrea,6.706,39.416,1706539,236.92,1039,Sub-Saharan Africa
1968,Eritrea,6.686,39.781,1752123,229.91,1068,Sub-Saharan Africa
1969,Eritrea,6.667,40.154,1798934,223.11,1080,Sub-Saharan Africa
1970,Eritrea,6.65,40.529,1847000,221.4,1037,Sub-Saharan Africa
1971,Eritrea,6.637,40.9,1896028,219.48,1054,Sub-Saharan Africa
1972,Eritrea,6.626,41.26,1946213,217.66,1068,Sub-Saharan Africa
1973,Eritrea,6.619,41.605,1998632,215.54,1061,Sub-Saharan Africa
1974,Eritrea,6.615,41.932,2054727,213.1,1035,Sub-Saharan Africa
1975,Eritrea,6.614,42.231,2115400,208.8,965,Sub-Saharan Africa
1976,Eritrea,6.616,42.495,2181178,204.7,948,Sub-Saharan Africa
1977,Eritrea,6.619,42.727,2251397,200.8,931,Sub-Saharan Africa
1978,Eritrea,6.623,42.936,2324290,197.1,864,Sub-Saharan Africa
